trial,electrode,peaks_function,precision,fmin,fmax,n_peaks,harm_thresh,delta_lim,sf,peaks_avg,euler,resonance,PPC_bicor,sum_p_q,sum_distinct_intervals,metric_3,sum_p_q_for_all_intervals,sum_q_for_all_intervals,harm_sim,matrix_harm_sim,matrix_cons,matrix_denom,cons,tenney,harm_fit,harmsim,subharm_tension
1,0,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,18,7.568787375534251e-07,1.9957909e-06,53,6,16.6000000000000,210,97,28.21,10.274216524216524,0.12215099715099716,5.9444444444444455,0.38568376068376065,5.523601479241499,1,28.205128205128204,[0.07716274078164571]
1,1,EMD,0.5,2,60,3,30,150,160.0,6.0,14,1.006485205152785e-06,2.4043798e-06,97,6,28.7777777777778,402,185,22.67,8.893518518518517,0.1076851851851852,11.5,0.33222222222222225,6.152545793663919,1,22.666666666666668,[0.07711559117365246]
1,2,EMD,0.5,2,60,3,30,150,160.0,6.0,14,8.719172122558425e-07,2.431037e-06,97,6,28.7777777777778,402,185,22.67,8.893518518518517,0.1076851851851852,11.5,0.33222222222222225,6.152545793663919,1,22.666666666666668,[0.07711559117365246]
1,3,EMD,0.5,2,60,3,30,150,160.0,5.666666666666667,12,1.391490413880092e-06,2.1554727e-06,49,0,24.0000000000000,0,0.0,8.0,0.0,0.0,0.0,0.29000000000000004,4.819212460330587,5,8.0,[0.0]
1,4,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,13,1.1942102582906954e-06,1.8074987e-06,97,6,28.5714285714286,240,100,28.0,9.91358024691358,0.11331275720164609,6.055555555555556,0.26222222222222225,5.209187460811358,3,28.0,[0.0]
1,5,EMD,0.5,2,60,3,30,150,160.0,6.0,14,1.252228075069676e-06,2.6221987e-06,97,6,28.7777777777778,402,185,22.67,8.893518518518517,0.1076851851851852,11.5,0.33222222222222225,6.152545793663919,1,22.666666666666668,[0.07711559117365246]
1,6,EMD,0.5,2,60,3,30,150,160.0,7.666666666666667,12,1.74432091644879e-07,5.6489085e-07,66,6,29.5000000000000,62,22,31.56,14.444444444444443,0.16203703703703706,1.722222222222222,0.48,4.819212460330587,4,31.555555555555554,[0.10191945163605978]
1,7,EMD,0.5,2,60,3,30,150,160.0,6.0,22,4.796312268084236e-07,8.524214e-07,58,6,19.1666666666667,346,121,21.61,5.128205128205128,0.05354962497819641,8.38888888888889,0.34310134310134305,6.061838093946569,1,21.61172161172161,[0.11073184664019031]
1,8,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,18,1.09442516675808e-06,2.8955067e-06,53,6,16.6000000000000,210,97,28.21,10.274216524216524,0.12215099715099716,5.9444444444444455,0.38568376068376065,5.523601479241499,1,28.205128205128204,[0.07716274078164571]
1,9,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,18,9.823428652250895e-07,2.6010177e-06,53,6,16.6000000000000,210,97,28.21,10.274216524216524,0.12215099715099716,5.9444444444444455,0.38568376068376065,5.523601479241499,1,28.205128205128204,[0.07716274078164571]
2,0,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,10,2.279812906635925e-06,2.7317149e-06,22,4,7.50000000000000,123,51,60.0,10.444444444444445,0.11592592592592592,3.888888888888889,0.35833333333333334,4.604593730405679,2,60.0,[0.09038838064346723]
2,1,EMD,0.5,2,60,3,30,150,160.0,6.5,11,2.246203121103463e-06,2.890182e-06,50,2,5.77777777777778,18,9,25.0,10.0,0.1125,1.0,0.5633333333333334,4.4292374598498165,4,25.0,[0.12379965876831997]
2,2,EMD,0.5,2,60,3,30,150,160.0,6.333333333333333,15,1.5430358265196746e-06,3.3105673e-06,101,6,12.3492063492063,482,191,13.85,3.876543209876543,0.0405761316872428,16.38888888888889,0.26740740740740737,6.54252079414469,1,13.851851851851853,[0.10316463233258048]
2,3,EMD,0.5,2,60,3,30,150,160.0,5.166666666666667,23,1.5044562587718246e-06,2.3683397e-06,69,6,21.4285714285714,218,78,22.35,5.856209150326798,0.06196078431372549,6.166666666666667,0.38921568627450975,5.6062606240918,2,22.35294117647059,[0.09217477598684301]
2,4,EMD,0.5,2,60,3,30,150,160.0,6.333333333333333,15,1.201481002984413e-06,2.7260182e-06,101,6,12.3492063492063,482,191,13.85,3.876543209876543,0.0405761316872428,16.38888888888889,0.26740740740740737,6.54252079414469,1,13.851851851851853,[0.10316463233258048]
2,5,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,12,2.6734571747510927e-06,1.7892893e-06,41,0,1.77777777777778,0,0.0,10.0,0.0,0.0,0.0,0.22749999999999998,5.095904126516483,5,10.0,[0.0]
2,6,EMD,0.5,2,60,3,30,150,160.0,6.5,13,1.0597466371109476e-06,1.3686116e-06,66,6,7.82142857142857,734,263,26.07,4.231001371742113,0.04429080932784637,18.166666666666668,0.2311111111111111,5.209187460811358,3,26.074074074074076,[0.10553043255789613]
2,7,EMD,0.5,2,60,3,30,150,160.0,6.333333333333333,15,6.194198552596691e-07,1.7768675e-06,101,6,12.3492063492063,482,191,13.85,3.876543209876543,0.0405761316872428,16.38888888888889,0.26740740740740737,6.54252079414469,1,13.851851851851853,[0.10316463233258048]
2,8,EMD,0.5,2,60,3,30,150,160.0,6.166666666666667,13,1.5421817556671158e-06,2.7331178e-06,97,6,28.5714285714286,240,100,28.0,9.91358024691358,0.11331275720164609,6.055555555555556,0.26222222222222225,5.209187460811358,3,28.0,[0.0]
2,9,EMD,0.5,2,60,3,30,150,160.0,3.8333333333333335,11,1.0773596917109292e-06,2.8551822e-06,45,6,21.0000000000000,394,192,27.41,5.102880658436214,0.05383230452674897,15.222222222222221,0.42407407407407405,4.994568730886449,4,27.40740740740741,[0.07572158726508453]
