time,P
71.254401,101098.16
71.415040,101096.80
71.581258,101096.22
71.738494,101095.64
71.899753,101095.81
72.060507,101098.22
72.220672,101098.47
72.383179,101098.94
72.542507,101100.79
72.704848,101100.04
72.866228,101099.40
73.031747,101099.17
73.188787,101098.37
73.347862,101097.50
73.510280,101097.56
73.670284,101096.83
73.831904,101097.11
73.992949,101097.84
74.158518,101098.25
74.316108,101099.09
74.476032,101101.20
74.637246,101101.35
74.798549,101101.98
74.959843,101101.53
75.121408,101101.70
75.282132,101100.64
75.447970,101099.28
75.613317,101099.39
75.764314,101098.36
75.926538,101096.94
76.087685,101097.24
76.248457,101097.11
76.410334,101097.22
76.570015,101098.36
76.731229,101099.19
76.892587,101099.06
77.053350,101097.86
77.216016,101097.48
77.377010,101096.20
77.538952,101094.73
77.697033,101094.34
77.864061,101093.65
78.021741,101092.03
78.180875,101092.12
78.342953,101092.34
78.503620,101092.75
78.664666,101093.18
78.826277,101093.95
78.988972,101094.65
79.149363,101095.20
79.309093,101095.75
79.469915,101095.09
79.631521,101095.89
79.792453,101095.53
79.954757,101095.39
80.114667,101095.90
80.283905,101096.26
80.437017,101097.14
80.597202,101097.03
80.758047,101097.75
80.919709,101098.89
81.080649,101099.37
81.242823,101099.25
81.402621,101099.48
81.564727,101099.43
81.725374,101098.09
81.885637,101097.38
82.048562,101095.83
82.208534,101094.65
82.369980,101093.48
82.529924,101091.05
82.698669,101090.53
82.852327,101087.84
83.019242,101085.17
83.175445,101084.59
83.334845,101083.29
83.496426,101082.86
83.658244,101082.76
83.819636,101082.04
83.980735,101081.71
84.141746,101082.59
84.301573,101084.34
84.464427,101085.05
84.623959,101086.73
84.787196,101087.34
84.946836,101089.01
85.113151,101091.31
85.269647,101090.80
85.433151,101090.09
85.591865,101091.64
85.752208,101090.67
85.912743,101089.47
86.074520,101090.52
86.234479,101090.52
86.396106,101088.60
86.557041,101088.70
86.717968,101088.89
86.879876,101088.96
87.041081,101088.15
87.202014,101088.18
87.364406,101088.28
87.531918,101088.23
87.685809,101088.42
87.845754,101089.06
88.008249,101089.15
88.167565,101089.72
88.329246,101089.69
88.491436,101089.18
88.652266,101089.48
88.814944,101089.92
88.974990,101089.72
89.134187,101091.08
89.297062,101091.80
89.460924,101092.30
89.618698,101091.89
89.779323,101092.45
89.949618,101093.76
90.102244,101094.50
90.266274,101095.17
90.424192,101095.73
90.583991,101095.51
90.745027,101094.35
90.907211,101093.65
91.067188,101093.06
91.230291,101091.94
91.390477,101090.84
91.551033,101091.03
91.713502,101091.55
91.873840,101092.17
92.035752,101091.89
92.195916,101093.23
92.356270,101093.56
92.518116,101095.25
92.684325,101093.87
92.846360,101093.14
93.001349,101093.45
93.162108,101093.92
93.324212,101095.56
93.484614,101095.12
93.645662,101095.28
93.806479,101095.86
93.967314,101096.41
94.129555,101097.50
94.290637,101097.87
94.451909,101098.37
94.611730,101100.37
94.774242,101101.75
94.934104,101103.31
95.099078,101104.25
95.257734,101105.36
95.416204,101107.35
95.578945,101109.06
95.740663,101110.05
95.900737,101110.84
96.063332,101112.78
96.223371,101114.25
96.384998,101114.00
96.546458,101114.48
96.705905,101115.80
96.867423,101117.73
97.028730,101118.03
97.190051,101119.00
97.349191,101119.95
97.510710,101120.97
97.672045,101122.00
97.833209,101123.31
97.996211,101124.54
98.156615,101124.81
98.316243,101124.90
98.478515,101125.09
98.639645,101125.42
98.800086,101126.75
98.960952,101126.98
99.121306,101129.06
99.283674,101128.12
99.443659,101128.67
99.605776,101130.03
99.767432,101130.67
99.927064,101130.53
100.088716,101130.93
100.249352,101131.34
100.411943,101132.29
100.570220,101132.43
100.732033,101132.87
100.893896,101134.92
101.054083,101134.36
101.216749,101136.11
101.378370,101137.03
101.538074,101137.70
101.699934,101138.64
101.861057,101138.90
102.023337,101139.92
102.181908,101141.02
102.349291,101141.58
102.505539,101143.57
102.664888,101144.46
102.827701,101145.07
102.987225,101145.86
103.148930,101145.87
103.309840,101147.02
103.470471,101147.05
103.631520,101147.72
103.793844,101146.97
103.953978,101146.58
104.115483,101147.64
104.276130,101147.14
104.439060,101147.52
104.598684,101148.50
104.765374,101148.70
104.929540,101150.00
105.081847,101150.39
105.243872,101150.85
105.403550,101152.75
105.564271,101153.72
105.726733,101154.53
105.888770,101155.05
106.049815,101156.12
106.210493,101156.54
106.371682,101156.48
106.531989,101157.51
106.693200,101158.86
106.855844,101159.64
107.014624,101159.92
107.182324,101160.98
107.338479,101160.44
107.497261,101160.34
107.659985,101161.58
107.819432,101162.57
107.980438,101163.51
108.142074,101165.19
108.302427,101166.34
108.463984,101165.33
108.625106,101165.75
108.785367,101167.61
108.948656,101168.81
109.108881,101169.18
109.270782,101169.95
109.430776,101170.76
109.598960,101171.47
109.753882,101171.42
109.913819,101171.61
110.074702,101172.44
110.237358,101172.34
110.397239,101174.84
110.559711,101175.12
110.719075,101175.68
110.880937,101176.31
111.045602,101176.21
111.202506,101176.64
111.364315,101177.69
111.525878,101177.45
111.686364,101178.78
111.848399,101179.28
112.013021,101179.87
112.170436,101180.58
112.329553,101180.95
112.492022,101180.93
112.653276,101182.35
112.814003,101182.24
112.975311,101182.48
113.136609,101182.51
113.297291,101182.45
113.459565,101183.25
113.618743,101183.15
113.780591,101183.42
113.942900,101183.62
114.101391,101183.31
114.265143,101183.73
114.434353,101183.70
114.585429,101184.50
114.745801,101184.81
114.908075,101184.83
115.067058,101184.53
115.229013,101185.14
115.391598,101185.39
115.554421,101185.30
115.713831,101185.59
115.874338,101185.83
116.033754,101185.94
116.195871,101186.22
116.357645,101186.65
116.517777,101186.69
116.679536,101187.12
116.839772,101188.26
117.001711,101188.39
117.161035,101188.73
117.324303,101188.90
117.483020,101188.95
117.645485,101189.07
117.806803,101189.07
117.967304,101189.50
118.127709,101189.87
118.288250,101187.96
118.449133,101189.84
118.609873,101189.95
118.771033,101190.77
118.931776,101189.34
119.092828,101188.67
119.254043,101192.79
119.415956,101192.56
119.576499,101190.41
119.737401,101189.86
119.898727,101191.45
120.061882,101193.70
120.220250,101190.89
120.381452,101187.87
120.543423,101181.31
120.703930,101177.36
120.865220,101171.48
121.027222,101167.01
121.187332,101165.41
121.349522,101161.87
121.511428,101160.48
121.671002,101156.90
121.833180,101155.44
121.995073,101154.89
122.154367,101153.91
122.315181,101153.72
122.476811,101153.81
122.638657,101154.80
122.801019,101154.45
122.961634,101155.89
123.119965,101156.93
123.280690,101154.20
123.441826,101154.20
123.603339,101154.36
123.765856,101153.66
123.926763,101153.58
124.088799,101153.59
124.247326,101153.55
124.416578,101153.72
124.569813,101153.78
124.730782,101154.69
124.893568,101153.38
125.053651,101153.03
125.222889,101152.26
125.376165,101152.17
125.536839,101153.80
125.698640,101153.86
125.858953,101155.15
126.019865,101156.46
126.184907,101156.51
126.342595,101157.31
126.503658,101157.95
126.665005,101158.87
126.829816,101161.92
126.986243,101161.73
127.147531,101158.94
127.309108,101158.37
127.469161,101157.98
127.632281,101158.37
127.791837,101158.76
127.952091,101159.56
128.114172,101160.55
128.274978,101160.78
128.435476,101162.01
128.596194,101161.31
128.756754,101160.92
128.918084,101160.76
129.079173,101161.22
129.242304,101163.71
129.401602,101164.47
129.562796,101164.54
129.724076,101166.61
129.884274,101167.26
130.046025,101165.41
130.206606,101163.53
130.368143,101163.09
130.529109,101172.89
130.692598,101167.47
130.851543,101161.95
131.012658,101159.92
131.173681,101159.64
131.334737,101158.64
131.497309,101159.58
131.666631,101160.17
131.817941,101171.31
131.979344,101176.90
132.143490,101180.64
132.300485,101177.51
132.462831,101174.15
132.623575,101152.89
132.784919,101152.12
132.945517,101152.31
133.106761,101153.98
133.267761,101153.75
133.430362,101154.95
133.590416,101155.79
133.752815,101156.26
133.912679,101156.62
134.073580,101156.81
134.235219,101158.61
134.396079,101172.28
134.555314,101177.73
134.717053,101170.64
134.878449,101156.65
135.038959,101156.87
135.200516,101157.78
135.361129,101159.23
135.522395,101164.37
135.683378,101182.54
135.844568,101191.34
136.005517,101177.70
136.166291,101171.55
136.326859,101172.08
136.488182,101172.89
136.649219,101174.19
136.809923,101176.23
136.971256,101176.98
137.132337,101185.14
137.294418,101196.55
137.453978,101190.16
137.615257,101177.26
137.775827,101177.28
137.936932,101183.94
138.098494,101192.12
138.260991,101190.31
138.419983,101177.64
138.581084,101177.40
138.742661,101183.47
138.903396,101191.31
139.064439,101190.01
139.225425,101176.37
139.386443,101175.65
139.547602,101175.96
139.709366,101176.09
139.869646,101176.89
140.031058,101177.37
140.192980,101177.76
140.360357,101177.87
140.518106,101177.84
140.676103,101177.76
140.837812,101177.81
140.998482,101178.22
141.158515,101178.06
141.319199,101177.58
141.480097,101176.92
141.642030,101176.65
141.803480,101176.28
141.963781,101175.85
142.134575,101175.46
142.287339,101174.81
142.446424,101174.37
142.608348,101173.89
142.768903,101173.30
