timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704924.317,999.512,-11.230,-33.203,999.512,0.000
1741704924.321,212.891,-42.969,-39.062,-188.965,0.000
1741704924.325,-1000.000,-69.824,-41.016,-1000.000,0.000
1741704924.329,-268.555,-36.133,-37.598,-143.555,0.000
1741704924.333,999.512,2.441,-41.016,999.512,0.000
1741704924.337,452.637,-23.438,-49.805,226.074,0.000
1741704924.341,-1000.000,-64.453,-43.457,-1000.000,0.000
1741704924.345,-339.844,-32.715,-34.668,-230.957,0.000
1741704924.348,999.512,-6.348,-42.969,999.512,0.000
1741704924.352,196.777,-53.223,-51.758,133.301,0.000
1741704924.356,-1000.000,-86.426,-49.316,-1000.000,0.000
1741704924.360,-981.934,-68.848,-36.133,-973.633,0.000
1741704924.364,-982.910,-51.270,-34.668,-974.609,0.000
1741704924.368,-934.082,-45.898,-45.410,-936.035,0.000
1741704924.372,-1000.000,-43.457,-45.898,-1000.000,0.000
1741704924.376,-483.398,-29.785,-35.156,-348.145,0.000
1741704924.380,923.340,0.488,-29.785,985.840,0.000
1741704924.384,995.117,-12.695,-31.738,971.191,0.000
1741704924.388,917.969,-20.996,-33.691,935.547,0.000
1741704924.391,968.262,-8.301,-29.785,943.359,0.000
1741704924.395,917.969,-26.367,-31.250,966.309,0.000
1741704924.399,999.512,-36.133,-39.551,958.008,0.000
1741704924.403,37.598,-48.828,-48.340,-235.352,0.000
1741704924.407,-1000.000,-64.941,-40.527,-1000.000,0.000
1741704924.411,-1000.000,-52.246,-25.391,-745.117,0.000
1741704924.415,166.016,-20.996,-28.320,736.816,0.000
1741704924.419,949.219,-14.648,-34.668,555.176,0.000
1741704924.423,-553.223,-54.199,-41.992,-927.734,0.000
1741704924.427,-1000.000,-67.871,-42.969,-1000.000,0.000
1741704924.431,-251.953,-38.574,-39.062,-62.988,0.000
1741704924.434,999.512,-3.418,-41.504,999.512,0.000
1741704924.438,237.305,-32.715,-41.504,-83.984,0.000
1741704924.442,-1000.000,-74.219,-34.180,-1000.000,0.000
1741704924.446,-256.836,-46.875,-29.785,7.812,0.000
1741704924.450,999.512,-19.531,-36.133,999.512,0.000
1741704924.454,226.562,-47.363,-44.922,8.301,0.000
1741704924.458,-1000.000,-74.707,-34.668,-1000.000,0.000
1741704924.462,-251.465,-41.992,-28.809,-111.816,0.000
1741704924.466,999.512,-20.996,-41.016,999.512,0.000
1741704924.470,318.359,-54.199,-42.969,117.188,0.000
1741704924.473,-1000.000,-69.824,-36.133,-1000.000,0.000
1741704924.477,-466.797,-43.945,-32.227,-281.250,0.000
1741704924.481,999.512,-14.648,-35.645,999.512,0.000
1741704924.485,773.926,-36.133,-36.133,445.801,0.000
1741704924.489,-683.105,-80.078,-35.645,-954.590,0.000
1741704924.493,-1000.000,-77.637,-32.227,-1000.000,0.000
1741704924.497,-950.684,-61.523,-25.391,-963.379,0.000
1741704924.501,-947.266,-53.711,-36.621,-941.895,0.000
1741704924.505,-1000.000,-55.664,-52.734,-1000.000,0.000
1741704924.509,-714.844,-45.898,-46.875,-515.625,0.000
1741704924.513,720.703,-8.789,-40.039,888.672,0.000
1741704924.516,999.512,3.906,-47.363,999.512,0.000
1741704924.520,902.344,-10.254,-52.246,916.992,0.000
1741704924.524,979.980,-15.625,-48.340,972.168,0.000
1741704924.528,901.855,1.953,-41.504,915.039,0.000
1741704924.532,999.512,-8.301,-42.480,999.512,0.000
1741704924.536,185.547,-62.500,-44.922,68.848,0.000
1741704924.540,-1000.000,-92.285,-45.410,-1000.000,0.000
1741704924.544,-983.887,-67.383,-42.969,-967.285,0.000
1741704924.548,-988.281,-48.340,-40.527,-987.305,0.000
1741704924.552,-937.988,-42.480,-40.039,-933.105,0.000
1741704924.556,-1000.000,-51.758,-41.504,-1000.000,0.000
1741704924.559,-663.574,-47.852,-45.410,-449.219,0.000
1741704924.563,775.879,-8.301,-41.016,936.035,0.000
1741704924.567,999.512,0.488,-36.621,990.234,0.000
1741704924.571,907.227,-21.484,-36.621,925.781,0.000
1741704924.575,966.797,-11.230,-24.902,944.336,0.000
1741704924.579,922.852,-1.465,-24.414,968.750,0.000
1741704924.583,999.512,-18.066,-35.156,964.355,0.000
1741704924.587,-27.344,-62.988,-45.410,-304.688,0.000
1741704924.591,-1000.000,-92.773,-43.457,-1000.000,0.000
1741704924.595,-956.543,-71.777,-32.715,-941.406,0.000
1741704924.598,-998.535,-50.781,-30.762,-1000.000,0.000
1741704924.602,-930.664,-46.875,-37.109,-935.547,0.000
1741704924.606,-1000.000,-56.152,-39.062,-1000.000,0.000
1741704924.610,-416.992,-37.598,-31.250,-268.066,0.000
1741704924.614,957.031,-0.488,-27.832,999.512,0.000
1741704924.618,982.422,-3.418,-40.527,957.031,0.000
1741704924.622,928.711,-8.789,-40.527,946.777,0.000
1741704924.626,947.266,-13.184,-26.855,920.898,0.000
1741704924.630,955.078,-22.461,-25.879,999.512,0.000
1741704924.634,999.512,-33.203,-38.086,803.223,0.000
1741704924.638,-250.488,-74.219,-46.875,-573.242,0.000
1741704924.641,-1000.000,-86.426,-45.898,-1000.000,0.000
1741704924.645,-938.965,-67.383,-41.016,-938.477,0.000
1741704924.649,-1000.000,-65.430,-42.480,-1000.000,0.000
1741704924.653,-937.988,-63.477,-43.457,-944.336,0.000
1741704924.657,-1000.000,-65.430,-34.180,-1000.000,0.000
1741704924.661,-221.680,-35.156,-22.461,-152.344,0.000
1741704924.665,999.512,-12.207,-17.578,999.512,0.000
1741704924.669,948.242,-24.414,-26.855,940.430,0.000
1741704924.673,948.730,-14.160,-28.320,947.754,0.000
1741704924.677,897.949,-28.809,-18.066,903.320,0.000
1741704924.681,999.512,-53.711,-20.020,999.512,0.000
1741704924.684,416.016,-72.754,-25.391,296.387,0.000
1741704924.688,-915.039,-92.285,-17.578,-1000.000,0.000
1741704924.692,-1000.000,-83.496,-10.742,-1000.000,0.000
1741704924.696,-191.406,-47.852,-12.207,194.336,0.000
1741704924.700,999.512,-34.180,-13.672,999.512,0.000
1741704924.704,67.871,-75.684,-22.949,-330.566,0.000
1741704924.708,-1000.000,-86.914,-20.508,-1000.000,0.000
1741704924.712,-568.848,-57.129,-17.090,-312.988,0.000
1741704924.716,957.031,-22.461,-24.902,999.512,0.000
1741704924.720,824.707,-29.297,-31.250,491.699,0.000
1741704924.723,-851.074,-83.984,-37.109,-1000.000,0.000
1741704924.727,-792.480,-74.707,-29.297,-423.340,0.000
1741704924.731,701.660,-27.832,-27.344,965.332,0.000
1741704924.735,999.512,-20.508,-36.621,999.512,0.000
1741704924.739,157.227,-43.945,-33.691,-141.602,0.000
1741704924.743,-1000.000,-64.453,-21.484,-876.465,0.000
1741704924.747,147.461,-29.297,-20.020,710.938,0.000
1741704924.751,999.512,-22.949,-38.086,948.242,0.000
1741704924.755,-175.293,-66.895,-42.480,-556.641,0.000
1741704924.759,-1000.000,-83.008,-33.691,-1000.000,0.000
1741704924.763,-950.195,-58.105,-27.344,-947.266,0.000
1741704924.766,-979.492,-43.457,-32.715,-972.168,0.000
1741704924.770,-962.402,-55.664,-46.387,-1000.000,0.000
1741704924.774,-1000.000,-55.664,-39.062,-981.445,0.000
1741704924.778,-57.129,-15.137,-22.461,236.328,0.000
1741704924.782,999.512,-1.465,-30.762,999.512,0.000
1741704924.786,465.332,-44.434,-44.922,231.445,0.000
1741704924.790,-1000.000,-75.195,-41.992,-1000.000,0.000
1741704924.794,-608.398,-51.758,-39.551,-375.488,0.000
1741704924.798,858.887,-10.254,-36.621,999.512,0.000
1741704924.802,999.512,-10.742,-41.992,877.441,0.000
1741704924.806,14.648,-54.199,-44.434,-538.574,0.000
1741704924.809,-1000.000,-59.082,-32.227,-1000.000,0.000
1741704924.813,-49.805,-18.066,-24.902,430.176,0.000
1741704924.817,999.512,-6.348,-29.785,999.512,0.000
1741704924.821,210.938,-34.180,-45.410,-75.684,0.000
1741704924.825,-1000.000,-61.523,-48.828,-1000.000,0.000
1741704924.829,-354.004,-44.922,-44.434,-139.160,0.000
1741704924.833,999.512,-8.789,-53.711,999.512,0.000
1741704924.837,967.773,-6.836,-58.105,930.664,0.000
1741704924.841,927.246,-17.578,-45.410,930.664,0.000
1741704924.845,911.133,-20.996,-33.691,912.109,0.000
1741704924.848,999.512,-29.297,-34.180,999.512,0.000
1741704924.852,252.930,-42.480,-39.551,240.234,0.000
1741704924.856,-1000.000,-67.383,-39.062,-1000.000,0.000
1741704924.860,-1000.000,-54.199,-33.691,-624.512,0.000
1741704924.864,532.715,-14.160,-43.945,986.328,0.000
1741704924.868,655.762,-36.133,-58.105,375.977,0.000
1741704924.872,-888.184,-76.172,-56.641,-1000.000,0.000
1741704924.876,-1000.000,-65.430,-42.969,-1000.000,0.000
1741704924.880,-203.613,-31.738,-30.762,-18.555,0.000
1741704924.884,999.512,-20.996,-38.574,898.438,0.000
1741704924.888,-95.215,-66.895,-45.898,-520.996,0.000
1741704924.891,-1000.000,-88.379,-40.039,-1000.000,0.000
